filename,ID,startday,calendar_date,Nvaliddays,Nvaliddays_WD,Nvaliddays_WE,Ndaysleeper,Ncleaningcodezero,Ncleaningcode1,Ncleaningcode2,Ncleaningcode3,Ncleaningcode4,Ncleaningcode5,Ncleaningcode6,Nsleeplog_used,Nacc_available,start_end_window,sleeponset_pla,wakeup_pla,nonwear_perc_day_pla,nonwear_perc_spt_pla,nonwear_perc_day_spt_pla,dur_spt_sleep_min_pla,dur_spt_wake_IN_min_pla,dur_spt_wake_LIG_min_pla,dur_spt_wake_MOD_min_pla,dur_spt_wake_VIG_min_pla,dur_day_IN_unbt_min_pla,dur_day_LIG_unbt_min_pla,dur_day_MOD_unbt_min_pla,dur_day_VIG_unbt_min_pla,dur_day_MVPA_bts_10_min_pla,dur_day_MVPA_bts_5_10_min_pla,dur_day_MVPA_bts_1_5_min_pla,dur_day_IN_bts_30_min_pla,dur_day_IN_bts_20_30_min_pla,dur_day_IN_bts_10_20_min_pla,dur_day_LIG_bts_10_min_pla,dur_day_LIG_bts_5_10_min_pla,dur_day_LIG_bts_1_5_min_pla,dur_day_total_IN_min_pla,dur_day_total_LIG_min_pla,dur_day_total_MOD_min_pla,dur_day_total_VIG_min_pla,dur_day_min_pla,dur_spt_min_pla,dur_day_spt_min_pla,N_atleast5minwakenight_pla,sleep_efficiency_after_onset_pla,tail_expansion_minutes_pla,ACC_spt_sleep_mg_pla,ACC_spt_wake_IN_mg_pla,ACC_spt_wake_LIG_mg_pla,ACC_spt_wake_MOD_mg_pla,ACC_spt_wake_VIG_mg_pla,ACC_day_IN_unbt_mg_pla,ACC_day_LIG_unbt_mg_pla,ACC_day_MOD_unbt_mg_pla,ACC_day_VIG_unbt_mg_pla,ACC_day_MVPA_bts_10_mg_pla,ACC_day_MVPA_bts_5_10_mg_pla,ACC_day_MVPA_bts_1_5_mg_pla,ACC_day_IN_bts_30_mg_pla,ACC_day_IN_bts_20_30_mg_pla,ACC_day_IN_bts_10_20_mg_pla,ACC_day_LIG_bts_10_mg_pla,ACC_day_LIG_bts_5_10_mg_pla,ACC_day_LIG_bts_1_5_mg_pla,ACC_day_total_IN_mg_pla,ACC_day_total_LIG_mg_pla,ACC_day_total_MOD_mg_pla,ACC_day_total_VIG_mg_pla,ACC_day_mg_pla,ACC_spt_mg_pla,ACC_spt_mg_median_pla,ACC_spt_mg_stdev_pla,ACC_day_spt_mg_pla,quantile_mostactive60min_mg_pla,quantile_mostactive30min_mg_pla,Nbouts_day_MVPA_bts_10_pla,Nbouts_day_MVPA_bts_5_10_pla,Nbouts_day_MVPA_bts_1_5_pla,Nbouts_day_IN_bts_30_pla,Nbouts_day_IN_bts_20_30_pla,Nbouts_day_IN_bts_10_20_pla,Nbouts_day_LIG_bts_10_pla,Nbouts_day_LIG_bts_5_10_pla,Nbouts_day_LIG_bts_1_5_pla,Nblocks_spt_sleep_pla,Nblocks_spt_wake_IN_pla,Nblocks_spt_wake_LIG_pla,Nblocks_spt_wake_MOD_pla,Nblocks_spt_wake_VIG_pla,Nblocks_day_IN_unbt_pla,Nblocks_day_LIG_unbt_pla,Nblocks_day_MOD_unbt_pla,Nblocks_day_VIG_unbt_pla,Nblocks_day_MVPA_bts_10_pla,Nblocks_day_MVPA_bts_5_10_pla,Nblocks_day_MVPA_bts_1_5_pla,Nblocks_day_IN_bts_30_pla,Nblocks_day_IN_bts_20_30_pla,Nblocks_day_IN_bts_10_20_pla,Nblocks_day_LIG_bts_10_pla,Nblocks_day_LIG_bts_5_10_pla,Nblocks_day_LIG_bts_1_5_pla,Nblocks_day_total_IN_pla,Nblocks_day_total_LIG_pla,Nblocks_day_total_MOD_pla,Nblocks_day_total_VIG_pla,boutcriter.in,boutcriter.lig,boutcriter.mvpa,boutdur.in,boutdur.lig,boutdur.mvpa,GGIRversion,lastHour_pla,lastDate,sleeponset_wei,wakeup_wei,nonwear_perc_day_wei,nonwear_perc_spt_wei,nonwear_perc_day_spt_wei,dur_spt_sleep_min_wei,dur_spt_wake_IN_min_wei,dur_spt_wake_LIG_min_wei,dur_spt_wake_MOD_min_wei,dur_spt_wake_VIG_min_wei,dur_day_IN_unbt_min_wei,dur_day_LIG_unbt_min_wei,dur_day_MOD_unbt_min_wei,dur_day_VIG_unbt_min_wei,dur_day_MVPA_bts_10_min_wei,dur_day_MVPA_bts_5_10_min_wei,dur_day_MVPA_bts_1_5_min_wei,dur_day_IN_bts_30_min_wei,dur_day_IN_bts_20_30_min_wei,dur_day_IN_bts_10_20_min_wei,dur_day_LIG_bts_10_min_wei,dur_day_LIG_bts_5_10_min_wei,dur_day_LIG_bts_1_5_min_wei,dur_day_total_IN_min_wei,dur_day_total_LIG_min_wei,dur_day_total_MOD_min_wei,dur_day_total_VIG_min_wei,dur_day_min_wei,dur_spt_min_wei,dur_day_spt_min_wei,N_atleast5minwakenight_wei,sleep_efficiency_after_onset_wei,tail_expansion_minutes_wei,ACC_spt_sleep_mg_wei,ACC_spt_wake_IN_mg_wei,ACC_spt_wake_LIG_mg_wei,ACC_spt_wake_MOD_mg_wei,ACC_spt_wake_VIG_mg_wei,ACC_day_IN_unbt_mg_wei,ACC_day_LIG_unbt_mg_wei,ACC_day_MOD_unbt_mg_wei,ACC_day_VIG_unbt_mg_wei,ACC_day_MVPA_bts_10_mg_wei,ACC_day_MVPA_bts_5_10_mg_wei,ACC_day_MVPA_bts_1_5_mg_wei,ACC_day_IN_bts_30_mg_wei,ACC_day_IN_bts_20_30_mg_wei,ACC_day_IN_bts_10_20_mg_wei,ACC_day_LIG_bts_10_mg_wei,ACC_day_LIG_bts_5_10_mg_wei,ACC_day_LIG_bts_1_5_mg_wei,ACC_day_total_IN_mg_wei,ACC_day_total_LIG_mg_wei,ACC_day_total_MOD_mg_wei,ACC_day_total_VIG_mg_wei,ACC_day_mg_wei,ACC_spt_mg_wei,ACC_spt_mg_median_wei,ACC_spt_mg_stdev_wei,ACC_day_spt_mg_wei,quantile_mostactive60min_mg_wei,quantile_mostactive30min_mg_wei,Nbouts_day_MVPA_bts_10_wei,Nbouts_day_MVPA_bts_5_10_wei,Nbouts_day_MVPA_bts_1_5_wei,Nbouts_day_IN_bts_30_wei,Nbouts_day_IN_bts_20_30_wei,Nbouts_day_IN_bts_10_20_wei,Nbouts_day_LIG_bts_10_wei,Nbouts_day_LIG_bts_5_10_wei,Nbouts_day_LIG_bts_1_5_wei,Nblocks_spt_sleep_wei,Nblocks_spt_wake_IN_wei,Nblocks_spt_wake_LIG_wei,Nblocks_spt_wake_MOD_wei,Nblocks_spt_wake_VIG_wei,Nblocks_day_IN_unbt_wei,Nblocks_day_LIG_unbt_wei,Nblocks_day_MOD_unbt_wei,Nblocks_day_VIG_unbt_wei,Nblocks_day_MVPA_bts_10_wei,Nblocks_day_MVPA_bts_5_10_wei,Nblocks_day_MVPA_bts_1_5_wei,Nblocks_day_IN_bts_30_wei,Nblocks_day_IN_bts_20_30_wei,Nblocks_day_IN_bts_10_20_wei,Nblocks_day_LIG_bts_10_wei,Nblocks_day_LIG_bts_5_10_wei,Nblocks_day_LIG_bts_1_5_wei,Nblocks_day_total_IN_wei,Nblocks_day_total_LIG_wei,Nblocks_day_total_MOD_wei,Nblocks_day_total_VIG_wei,lastHour_wei
J009_1.gt3x,J009_1.gt3x,Tuesday,2025-06-24,8,6,2,2,0,1,7,0,0,0,0,0,8,11:13:40-09:44:55,22.941,34.382,0,89.924,46.036,806.25,51.375,6.323,2.5,0,53.208,24.083,6.49,0.01,32.823,9.823,9.354,510.156,21.458,44.969,5.354,5.823,9.542,605.844,69.698,57.427,0.125,733.094,866.448,1599.542,1.125,0.943,0,0.197,1.449,40.293,93.71,,4.019,36.443,90.349,246.4,139.383,121.316,108.334,3.311,4.718,4.295,48.812,44.378,40.041,2.072,37.442,129.688,264.013,15.802,0.653,0,5.108,7.824,72.99,122.37,2.25,1.75,6.5,6.75,1.125,4,0.375,1.125,7.25,4.75,27.5,34,11.75,0,98.75,137.125,35.25,0.125,2.25,1.75,6.5,6.75,1.125,4,0.375,1.125,7.25,253.375,323.375,93.125,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,13,2025-07-03,22.988,34.388,0,89.903,45.583,795.998,50.815,6.135,2.476,0,54.165,24.353,6.518,0.01,33.006,9.859,9.323,515.306,21.121,45.062,5.347,5.784,9.913,611.395,70.579,57.673,0.119,739.766,855.425,1595.19,1.119,0.943,0,0.207,1.397,41.033,93.476,,4.025,36.355,90.365,246.4,139.383,120.822,108.563,3.32,4.604,4.285,50.456,42.05,39.755,2.071,37.279,129.697,264.013,15.726,0.659,0,5.124,7.861,73.157,122.626,2.262,1.738,6.452,6.786,1.143,4,0.381,1.143,7.571,4.738,26.476,32.905,11.571,0,100.429,138.714,35.548,0.119,2.262,1.738,6.452,6.786,1.143,4,0.381,1.143,7.571,258,328.238,93.571,0.952,13
J009_2.gt3x,J009_2.gt3x,Saturday,2025-07-26,12,8,4,1,0,7,5,0,0,0,0,0,12,09:39:10-07:59:55,22.858,33.656,0,76.719,34.492,620.91,19.021,5.132,2.799,0.021,85.924,37.646,7.785,0.007,55.028,8.354,11.896,450.611,37.069,33.764,23.049,12.125,24.146,588.986,118.472,79.694,0.25,787.403,647.882,1435.285,0.667,0.967,0,0.081,4.044,34.365,103.864,308.35,5.247,33.539,93.776,325.4,135.497,131.088,107.317,3.925,5.83,5.369,32.673,36.315,34.058,3.06,33.68,132.161,277.541,21.038,0.694,0,5.183,11.772,99.671,137.128,2.833,1.333,7.25,6.333,1.75,2.583,1.083,2.333,19.417,4.833,23,26.25,7.5,0.167,184.583,214.667,43.917,0.083,2.833,1.333,7.25,6.333,1.75,2.583,1.083,2.333,19.417,389.75,468.5,104.333,1.75,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,14,2025-08-07,22.857,33.733,0,76.091,34.526,624.708,19.612,5.265,2.97,0.019,83.949,36.766,7.735,0.006,55.713,8.32,11.324,446.963,38.406,33.19,23.774,11.993,23.296,584.225,117.33,79.625,0.256,781.436,652.574,1434.01,0.714,0.966,0,0.083,4,34.38,102.738,276.614,5.176,33.692,93.59,325.4,136.661,131.102,106.404,3.886,5.83,5.344,34.191,36.624,34.606,3.018,33.878,132.081,276.226,21.119,0.716,0,5.217,11.731,100.06,137.596,2.946,1.321,7.036,6.268,1.821,2.554,1.089,2.286,18.661,5.018,23.339,26.75,7.786,0.161,178.893,209.696,43.643,0.071,2.946,1.321,7.036,6.268,1.821,2.554,1.089,2.286,18.661,381.768,460.679,104.25,1.786,14
J009_3.gt3x,J009_3.gt3x,Wednesday,2025-08-27,9,7,2,4,0,0,9,0,0,0,0,0,9,11:34:20-08:59:55,23.789,35.572,0,91.912,43.266,641.231,55.537,6.685,3.463,0.037,90.639,43.111,10.417,0.019,14.611,5.167,18.722,487.213,20.722,28.62,17.306,9.593,29.759,610.602,115.889,49.333,0.074,775.898,706.954,1482.852,0.333,0.929,0,0.052,3.666,32.452,103.096,280.225,5.686,32.258,91.084,305.3,119.188,117.105,109.843,3.15,5.348,4.482,41.165,35.572,34.327,2.601,34.574,109.332,297.663,13.933,0.921,0,7.273,7.93,61.16,92.905,0.889,0.889,11.222,6.222,1,2.556,1.333,2,23.222,3.222,26,29.778,7.889,0.333,200.222,237.222,51.889,0.222,0.889,0.889,11.222,6.222,1,2.444,1.333,2,23.222,344.667,440.889,111.556,0.889,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,12,2025-09-08,23.737,35.426,0,92.459,43.256,640.883,51.082,6.184,3.187,0.034,92.073,43.963,10.573,0.02,15.782,5.214,18.575,487.192,22.051,27.294,16.301,9.361,30.197,611.828,116.133,50.554,0.082,778.597,701.369,1479.966,0.306,0.935,0,0.052,3.559,32.212,105.182,280.225,5.654,32.315,91.305,275.3,116.53,115.37,110.141,3.121,5.362,4.599,40.781,35.572,34.232,2.555,34.537,110.187,294.679,14.107,0.853,0,6.838,8.018,62.564,94.447,1.02,0.898,11.163,6.408,1.041,2.51,1.265,1.918,23.653,3.163,24.082,27.51,7.286,0.306,204.245,241.857,53.367,0.245,1.02,0.898,11.163,6.408,1.041,2.408,1.265,1.918,23.653,348.98,446.041,113.673,0.98,12
J010_1.gt3x,J010_1.gt3x,Wednesday,2025-06-25,7,5,2,0,0,0,7,0,0,0,0,0,7,07:34:35-07:29:55,20.847,31.576,0,94.375,42.064,633.929,7.69,1.655,0.452,0.024,82.345,35.262,5.405,0.012,99.762,18.548,11.726,436.583,26.869,36.75,16.714,6.786,21,567.429,102.583,127.714,0.036,797.762,643.75,1441.512,0.143,0.985,0,0.173,3.085,32.8,115.631,341.55,5.378,32.291,88.304,326.8,108.214,110.395,111.037,3.26,5.103,6.032,30.578,38.32,32.658,2.613,32.993,114.835,300.925,24.632,0.382,0,4.292,13.756,116.373,130.343,5,2.714,5.714,5.714,1.429,3.429,0.857,1.429,17.143,2.143,8.429,9,2.286,0.286,162.714,180.286,23.429,0.143,5,2.714,5.714,5.714,1.429,3.286,0.857,1.429,17.143,331.571,400.429,94,0.429,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,16,2025-07-02,20.847,31.576,0,94.375,42.064,633.929,7.69,1.655,0.452,0.024,82.345,35.262,5.405,0.012,99.762,18.548,11.726,436.583,26.869,36.75,16.714,6.786,21,567.429,102.583,127.714,0.036,797.762,643.75,1441.512,0.143,0.985,0,0.173,2.933,32.971,116.255,371.786,5.378,32.291,88.304,326.8,108.214,110.395,111.037,3.26,5.374,6.032,30.671,38.32,32.658,2.613,32.993,114.835,300.925,24.632,0.382,0,4.292,13.756,116.373,130.343,5,2.714,5.714,5.714,1.429,3.429,0.857,1.429,17.143,2.143,8.429,9,2.286,0.286,162.714,180.286,23.429,0.143,5,2.714,5.714,5.714,1.429,3.286,0.857,1.429,17.143,331.571,400.429,94,0.429,16
J010_2.gt3x,J010_2.gt3x,Saturday,2025-07-26,8,5,3,1,0,0,8,0,0,0,0,0,8,09:12:55-07:44:55,21.604,33.215,0,90.272,40.814,632.927,60.26,3.01,0.438,0.01,91.875,38.271,6.177,0.01,175.125,8.729,8.354,397.521,14.938,40.99,1.854,4.437,20.958,527.969,93.969,187.271,0.031,809.24,696.646,1505.885,0.375,0.937,0,1.113,4.272,37.391,127.53,322.8,5.355,32.265,90.946,380.9,114.75,107.628,112.5,4.298,6.6,6.233,19.975,34.757,34.332,3.224,33.174,119.529,309.167,33.623,1.262,0,6.529,18.929,128.352,141.225,8.875,1.25,3.75,6.625,0.75,3.25,0.125,1.125,15.5,3.125,12.5,13.625,2,0.125,174.375,197,25.5,0.125,8.875,1.25,3.75,6.625,0.75,3.25,0.125,1.125,15.5,362.75,436.375,104.5,0.375,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,13,2025-08-06,21.649,32.806,0,90.662,40.166,618.73,47.587,2.762,0.345,0.012,95.111,39.456,6.409,0.012,176.139,7.972,8.734,397.893,14.714,38.944,1.413,4.508,20.976,529.611,94.591,188.044,0.036,812.282,669.437,1481.718,0.333,0.948,0,0.94,4.458,37.474,136.956,322.8,5.316,32.048,91.577,380.9,114.927,106.912,112.5,4.331,6.214,6.347,19.975,35.576,34.25,3.27,33.129,119.732,309.167,33.716,1.09,0,5.793,19.209,128.311,141.248,9.048,1.143,3.952,6.476,0.762,3.095,0.095,1.19,15.619,2.952,11.333,12.286,1.619,0.143,179.714,202.429,26.286,0.143,9.048,1.143,3.952,6.476,0.762,3.095,0.095,1.19,15.619,365.952,439.714,105.667,0.429,13
J010_3.gt3x,J010_3.gt3x,Thursday,2025-08-28,8,6,2,0,0,1,7,0,0,0,0,0,8,07:49:05-07:26:40,21.127,31.818,0,88.497,38.227,619.927,18.26,2.635,0.604,0,66.354,28.75,4.896,0.021,137.448,11.573,3.792,497.021,29.198,18.156,6.958,1.281,18.625,587.031,86.448,150.552,0.042,824.073,641.427,1465.5,0.375,0.97,0,0.872,5.092,30.954,104.238,,5.832,32.077,91.161,274.3,115.173,114.629,116.397,4.275,5.07,4.704,27.19,27.643,37.411,3.15,32.441,119.255,252.55,27.995,1.037,0,6.262,16.116,125.214,135.325,6.75,1.875,1.75,6.875,1.25,1.625,0.375,0.25,14.75,4.125,14,13.5,3.5,0,142.5,160.625,21.5,0.25,6.75,1.875,1.75,6.875,1.25,1.625,0.375,0.25,14.75,343.375,398.25,74.875,0.5,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,14,2025-09-05,21.169,31.806,0,88.954,38.277,617.476,17.554,2.583,0.579,0,66.71,29.01,4.933,0.02,135.744,12.079,3.78,499.224,28.333,18.151,7.952,1.22,18.579,588.758,87.448,149.49,0.04,825.736,638.192,1463.929,0.357,0.971,0,0.833,5.092,30.71,104.146,,5.815,32.086,90.974,274.3,114.89,114.98,116.397,4.241,4.614,4.695,27.19,27.643,37.488,3.12,32.438,118.94,252.55,27.742,0.995,0,6.058,16,124.684,134.684,6.643,1.952,1.738,6.952,1.214,1.619,0.429,0.238,14.69,4.024,13.762,13.286,3.381,0,143.738,162.095,21.643,0.238,6.643,1.952,1.738,6.952,1.214,1.619,0.429,0.238,14.69,344.738,399.595,74.667,0.476,14
J011_1.gt3x,J011_1.gt3x,Thursday,2025-06-26,6,4,2,1,0,1,5,0,0,0,0,0,6,09:45:00-09:14:55,24.328,33.75,0,97.201,38.048,557.958,5.75,1.403,0.222,0,57.097,23.528,3.194,0,0,0.931,5.181,724.375,11.514,21.111,9.139,4.417,9.181,780.069,79.472,10.111,0.014,869.667,565.333,1435,0,0.988,0,0.178,3.519,29.309,83.731,,6.504,28.182,96.306,,,89.675,105.143,4.77,6.658,7.003,26.729,23.311,26.958,3.805,27.865,101.328,240.9,7.03,0.31,0,2.575,4.428,20.568,33.234,0,0.167,3,7.333,0.5,1.667,1.167,0.667,7,1.5,7.5,6.833,1.833,0,119.333,132,14.167,0,0,0.167,3,7.333,0.5,1.667,1.167,0.667,7,358.333,378.667,27.833,0.167,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,16,2025-07-02,24.289,33.777,0,97.001,38.257,561.753,5.875,1.429,0.229,0,55.539,22.836,3.054,0,0,0.997,5.253,723.807,11.366,20.366,8.417,3.97,8.682,777.06,77.143,10.068,0.015,864.286,569.286,1433.571,0,0.987,0,0.177,3.368,29.439,84.244,,6.318,28.186,97.366,,,89.675,107.926,4.749,6.503,6.924,28.477,23.334,26.659,3.771,27.886,101.913,240.9,6.956,0.311,0,2.59,4.365,20.223,32.922,0,0.179,3,7.25,0.5,1.607,1.071,0.607,6.643,1.536,7.643,6.964,1.857,0,115.643,128,13.5,0,0,0.179,3,7.25,0.5,1.607,1.071,0.607,6.643,351.821,371.286,27.036,0.179,16
J011_2.gt3x,J011_2.gt3x,Monday,2025-07-28,7,5,2,4,0,0,7,0,0,0,0,0,7,11:30:00-09:29:55,23.949,36.786,1.923,95.041,49.085,689.833,77.381,2.857,0.155,0,29.179,10.81,1.762,0,0,0,1.988,652.405,3.524,5.44,12.524,2.25,5.607,665.845,55.083,4.524,0.036,725.488,770.226,1495.714,0.143,0.925,0,0.014,4.057,34.312,121.157,,7.791,27.315,96.254,,,,118.776,4.065,6.308,6.691,15.983,30.506,27.078,3.101,27.897,102.71,278.933,5.371,0.269,0,2.74,2.848,14.929,23.215,0,0,1.143,5.143,0.143,0.571,0.429,0.571,3.857,1.857,11.286,11.143,1.429,0,53.286,60.857,9,0,0,0,1.143,5.143,0.143,0.571,0.429,0.571,3.857,205.286,218.286,18.429,0.429,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,11,2025-08-07,23.949,36.786,1.923,95.041,49.085,689.833,77.381,2.857,0.155,0,29.179,10.81,1.762,0,0,0,1.988,652.405,3.524,5.44,12.524,2.25,5.607,665.845,55.083,4.524,0.036,725.488,770.226,1495.714,0.143,0.925,0,0.014,4.057,34.312,119.236,,7.791,27.315,96.254,,,,118.776,4.065,6.308,6.691,15.983,30.506,27.403,3.101,27.897,102.71,273.064,5.371,0.269,0,2.74,2.848,14.929,23.215,0,0,1.143,5.143,0.143,0.571,0.429,0.571,3.857,1.857,11.286,11.143,1.429,0,53.286,60.857,9,0,0,0,1.143,5.143,0.143,0.571,0.429,0.571,3.857,205.286,218.286,18.429,0.429,11
J011_3.gt3x,J011_3.gt3x,Saturday,2025-08-23,7,5,2,3,0,0,7,0,0,0,0,0,7,12:43:50-10:29:55,24.371,36.731,0.021,97.346,48.114,682.917,57.774,0.786,0.107,0.012,28.762,9.143,1.405,0,0,2.429,5.25,684.845,3.845,1.452,0,2.869,3.571,692.357,41.679,9.524,0.012,743.571,741.595,1485.167,0,0.943,0,0.086,2.291,30.226,93.403,233.8,8.512,27.634,103.385,,,114.852,122.807,4.751,4.511,6.371,,20.031,22.288,3.809,26.897,112.481,364.7,6.635,0.162,0,1.924,3.39,14.844,28.773,0,0.429,3,4.714,0.143,0.143,0,0.571,3,1.857,4.571,3.714,1,0.143,48.857,55,6.714,0,0,0.429,2.857,4.714,0.143,0.143,0,0.571,3,219.143,228,18.857,0.143,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,16,2025-09-03,24.371,36.731,0.021,97.346,48.114,682.917,57.774,0.786,0.107,0.012,28.762,9.143,1.405,0,0,2.429,5.25,684.845,3.845,1.452,0,2.869,3.571,692.357,41.679,9.524,0.012,743.571,741.595,1485.167,0,0.943,0,0.086,2.291,30.046,93.858,233.8,7.987,27.634,103.505,,,114.852,122.687,4.751,4.511,6.371,,20.031,22.348,3.809,26.897,112.743,364.7,6.635,0.162,0,1.924,3.39,14.844,28.773,0,0.429,3,4.714,0.143,0.143,0,0.571,3,1.857,4.571,3.714,1,0.143,48.857,55,6.714,0,0,0.429,2.857,4.714,0.143,0.143,0,0.571,3,219.143,228,18.857,0.143,16
J012_1.gt3x,J012_1.gt3x,Saturday,2025-07-05,9,5,4,0,0,9,0,0,0,0,0,0,9,06:45:50-07:49:20,23.939,30.097,3.223,2.473,3.007,350.065,15.528,3.787,0.083,0,58.917,25.019,2.991,0.019,0,2.917,2.852,887.741,32.444,18.824,16.102,8.611,14.537,953.009,105.528,12.306,0.13,1070.972,369.463,1440.435,0.333,0.942,0,3.203,3.121,33.477,73.993,,4.439,31.689,84.431,236.6,,112.263,107.113,3.438,5.332,4.637,31.933,32.394,36.588,2.003,32.086,95.818,256.404,6.145,3.499,0.939,5.894,5.275,30.779,47.334,0,0.556,1.222,10,1.778,1.556,1.222,1.667,11.667,6.556,16.889,14.222,0.778,0,127.556,140.889,19.778,0.111,0,0.556,1.222,10,1.778,1.556,1.222,1.667,11.667,436.889,481.444,60.778,1,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,11,2025-07-14,23.278,29.707,3.032,3.179,3.021,364.048,17.696,3.94,0.089,0,58.47,24.863,3.107,0.024,0,2.31,3.19,877.685,34.726,18.214,14.946,9.101,15.244,943.792,105.637,12.298,0.155,1061.881,385.774,1447.655,0.429,0.935,0,2.944,3.216,33.686,74.868,,4.422,31.555,84.621,236.6,,108.619,107.657,3.538,5.408,4.637,32.249,30.894,35.875,2.036,32.068,95.082,259.792,6.168,3.254,0.754,5.902,5.259,30.816,47.294,0,0.429,1.357,10.286,1.929,1.5,1.214,1.857,12.143,6.929,18,15.143,0.786,0,127.429,140.714,19.714,0.143,0,0.429,1.357,10.286,1.929,1.5,1.214,1.857,12.143,440.929,486.429,61.5,1.214,11
J012_2.gt3x,J012_2.gt3x,Thursday,2025-07-24,7,5,2,0,0,7,0,0,0,0,0,0,7,10:48:05-05:29:35,21.879,29.448,0.962,1.211,1.184,422.583,27.012,4.512,0.024,0,59.179,25.75,3.798,0,0,3.607,0.488,793.833,7.214,9.69,29.464,8.44,19.452,841.69,107.774,11.452,0,960.917,454.131,1415.048,1.143,0.945,0,0.971,2.704,33.583,77.2,,4.236,33.369,90.598,,,115.729,97.397,3.521,5.374,4.627,35.072,34.973,35.228,2.229,33.33,89.862,,8.605,1.313,0,3.917,6.761,31.074,47.046,0,0.571,0.429,6.143,0.571,0.714,4.143,1.714,15.571,10.429,28.143,22.857,0.286,0,129.286,132.571,22.714,0,0,0.571,0.429,6.143,0.571,0.714,4.143,1.714,15.571,377,424.714,61.143,0,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,11,2025-07-31,21.879,29.448,0.962,1.211,1.184,422.583,27.012,4.512,0.024,0,59.179,25.75,3.798,0,0,3.607,0.488,793.833,7.214,9.69,29.464,8.44,19.452,841.69,107.774,11.452,0,960.917,454.131,1415.048,1.143,0.945,0,0.971,2.807,33.069,77.2,,4.236,33.369,91.146,,,115.729,99.87,3.521,5.374,5.26,35.072,34.072,34.909,2.229,33.33,89.862,,8.605,1.313,0,3.917,6.761,31.074,47.046,0,0.571,0.429,6.143,0.571,0.714,4.143,1.714,15.571,10.429,28.143,22.857,0.286,0,129.286,132.571,22.714,0,0,0.571,0.429,6.143,0.571,0.714,4.143,1.714,15.571,377,424.714,61.143,0,11
J012_3.gt3x,J012_3.gt3x,Sunday,2025-08-24,9,6,3,0,0,8,1,0,0,0,0,0,9,07:12:50-06:18:25,23.379,31.024,4.106,43.696,14.534,421.833,32.148,4.676,0.074,0,67.593,27.38,2.981,0,0,4.519,3.102,777.685,30.333,26.602,19.093,9.194,18.972,867.583,106.926,12.935,0.009,987.454,458.731,1446.185,0.333,0.932,0,1.266,2.71,33.644,83.271,,4.852,31.19,84.718,,,113.135,116.272,3.254,5.526,5.082,31.252,34.981,34.048,2.187,31.925,96.256,250.5,6.729,1.633,0.078,4.017,5.174,29.702,46.956,0,0.778,1.667,8.444,1.444,2.111,1.667,1.778,14.222,6.222,24.778,21.333,0.778,0,139.667,150.889,19.889,0,0,0.778,1.667,8.444,1.444,2.111,1.667,1.778,14.222,421.667,462.778,52.667,0.111,0.9,0.8,0.8,30_20_10,10_5_1,10_5_1,3.3.4,12,2025-09-02,23.323,30.942,4.113,43.757,14.497,419.486,32.853,4.74,0.079,0,68.456,27.794,3.06,0,0,4.567,3.137,775.329,30.891,27.224,20.097,9.427,19.774,867.05,109.482,13.214,0.01,989.756,457.159,1446.915,0.31,0.931,0,1.267,2.723,33.716,83.271,,4.85,31.18,85.076,,,114.221,117.211,3.279,5.545,5.152,31.06,35.132,34.124,2.198,31.958,96.457,250.5,6.837,1.638,0.079,4.039,5.258,30.254,47.522,0,0.786,1.69,8.619,1.476,2.167,1.762,1.81,14.738,6.19,25.119,21.714,0.833,0,141.286,152.619,20.429,0,0,0.786,1.69,8.619,1.476,2.167,1.762,1.81,14.738,426.952,469.381,54.024,0.119,12
